,movie_rank,movie_title,movie_lifetime,movie_year_release
113,114,Spider-Man 2,"$784,543,400",2004
114,115,Deadpool,"$782,837,347",2016
115,116,Star Wars: Episode IV - A New Hope,"$775,398,507",1977
116,117,No Time to Die,"$774,153,007",2021
117,118,Guardians of the Galaxy,"$773,350,376",2014
118,119,The Batman,"$772,319,315",2022
119,120,Thor: Love and Thunder,"$760,928,081",2022
120,121,Fast & Furious Presents: Hobbs & Shaw,"$760,732,926",2019
121,122,The Da Vinci Code,"$760,006,945",2006
122,123,Maleficent,"$759,853,685",2014
123,124,The Hunger Games: Mockingjay - Part 1,"$759,159,711",2014
124,125,The Amazing Spider-Man,"$758,707,722",2012
125,126,Shrek Forever After,"$752,600,867",2010
126,127,Suicide Squad,"$749,200,054",2016
127,128,Madagascar 3: Europe's Most Wanted,"$746,921,274",2012
128,129,X-Men: Days of Future Past,"$746,045,700",2014
129,130,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115",2005
130,131,Monsters University,"$743,559,645",2013
131,132,The Matrix Reloaded,"$741,847,937",2003
132,133,Interstellar,"$740,820,700",2014
133,134,Up,"$735,102,136",2009
134,135,F9: The Fast Saga,"$726,229,501",2021
135,136,Ne Zha,"$726,225,471",2019
136,137,Gravity,"$723,719,539",2013
137,138,The Amazing Spider-Man 2,"$716,891,708",2014
138,139,Dune: Part Two,"$714,444,358",2024
139,140,Captain America: The Winter Soldier,"$714,421,503",2014
140,141,The Twilight Saga: Breaking Dawn - Part 1,"$712,205,856",2011
141,142,The Twilight Saga: New Moon,"$711,048,123",2009
142,143,Dawn of the Planet of the Apes,"$710,644,566",2014
143,144,Transformers,"$709,709,780",2007
144,145,Fast X,"$704,875,015",2023
145,146,It,"$704,242,888",2017
146,147,The Wandering Earth,"$699,992,512",2019
147,148,The Twilight Saga: Eclipse,"$698,513,085",2010
148,149,The Hunger Games,"$695,220,619",2012
149,150,Mission: Impossible - Ghost Protocol,"$694,713,380",2011
150,151,Spider-Man: Across the Spider-Verse,"$690,824,738",2023
151,152,Detective Chinatown 3,"$686,257,563",2021
152,153,Wicked,"$683,237,370",2024
153,154,Mission: Impossible - Rogue Nation,"$682,716,636",2015
154,155,Forrest Gump,"$678,226,465",1994
155,156,Doctor Strange,"$677,796,833",2016
156,157,The Sixth Sense,"$672,806,432",1999
157,158,Full River Red,"$670,491,959",2023
158,159,Man of Steel,"$670,145,518",2013
159,160,Ice Age: The Meltdown,"$667,094,506",2006
160,161,Kung Fu Panda 2,"$665,692,281",2011
161,162,The Hunger Games: Mockingjay - Part 2,"$661,456,867",2015
162,163,Justice League,"$661,326,987",2017
163,164,Big Hero 6,"$657,870,525",2014
164,165,Fantastic Beasts: The Crimes of Grindelwald,"$655,755,901",2018
165,166,Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,546",2003
166,167,Men in Black³,"$654,213,485",2012
167,168,Star Wars: Episode II - Attack of the Clones,"$653,780,724",2002
168,169,Thor: The Dark World,"$644,783,140",2013
169,170,Moana,"$643,332,467",2016
170,171,Wonka,"$634,402,312",2023
171,172,Sing,"$634,338,409",2016
172,173,Kung Fu Panda,"$632,091,832",2008
173,174,The Incredibles,"$631,688,498",2004
174,175,The Martian,"$630,621,406",2015
175,176,Hancock,"$629,443,428",2008
176,177,Water Gate Bridge,"$626,571,697",2022
177,178,Fast Five,"$626,140,012",2011
178,179,Iron Man 2,"$623,933,331",2010
179,180,Ratatouille,"$623,729,380",2007
180,181,Ant-Man and the Wasp,"$622,674,139",2018
181,182,How to Train Your Dragon 2,"$621,537,519",2014
182,183,Logan,"$619,180,476",2017
183,184,The Lost World: Jurassic Park,"$618,638,999",1997
184,185,Casino Royale,"$616,577,552",2006
185,186,The Wandering Earth II,"$615,023,132",2023
186,187,The Passion of the Christ,"$612,060,372",2004
187,188,Mamma Mia!,"$611,452,132",2008
188,189,Life of Pi,"$609,016,565",2012
189,190,Ready Player One,"$607,874,422",2018
190,191,Transformers: The Last Knight,"$605,425,157",2017
191,192,Madagascar: Escape 2 Africa,"$603,900,354",2008
192,193,War of the Worlds,"$603,873,504",2005
193,194,Tangled,"$591,806,017",2010
194,195,Quantum of Solace,"$589,593,688",2008
195,196,Men in Black,"$589,390,539",1997
196,197,The Croods,"$587,266,745",2013
197,198,The Hangover Part II,"$586,764,305",2011
198,199,Iron Man,"$585,796,247",2008
199,200,I Am Legend,"$585,410,052",2007
