,Name,price,rate,product_image
27,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Lemon -1 Year Warranty/Local Version","20,440",850,https://m.media-amazon.com/images/I/71Azxw1VWeL._AC_UL320_.jpg
28,"Galaxy A16 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Gray (1 Year Local Warranty)","7,370",2,https://m.media-amazon.com/images/I/61lzvL4tAqL._AC_UL320_.jpg
29,50 Inch 4K UHD Smart LED TV - Black - UA50DU7000UXEG [2024 Model],"16,999",135,https://m.media-amazon.com/images/I/61B7dn9ZUYL._AC_UL320_.jpg
30,"A04S 3GB Ram, 32GB - Black",see price options,50,https://m.media-amazon.com/images/I/51P4huodC+L._AC_UL320_.jpg
31,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Iceblue -1 Year Warranty/Local Version","21,577",850,https://m.media-amazon.com/images/I/61V7NjE8V+L._AC_UL320_.jpg
32,"Galaxy A06 Dual Sim 6GB RAM 128GB Storage Android Smartphone, 6.7-Inch Screen Size, Gold- 1 Year Warranty/Local Version","6,644",1,https://m.media-amazon.com/images/I/61lHDUVpiKL._AC_UL320_.jpg
33,"Galaxy A16 LTE, Android Smartphone, Dual SIM Mobile Phone, 6GB RAM, 128GB Storage, Light Green (1 Year Local Warranty)","8,070",2,https://m.media-amazon.com/images/I/61cmlEY2jsL._AC_UL320_.jpg
34,"Galaxy A05 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage,Silver- 1 Year Warranty/Local Version","5,999",148,https://m.media-amazon.com/images/I/71-QzvIZnVL._AC_UL320_.jpg
35,"Galaxy A06 Dual Sim 6GB RAM 128GB Storage Android Smartphone, 6.7-Inch Screen Size, Light Blue- 1 Year Warranty/Local Version","6,644",1,https://m.media-amazon.com/images/I/61asGlxdMOL._AC_UL320_.jpg
36,"Galaxy Buds3, Silver, Wireless Bluetooth Earbuds with Adaptive EQ/ANC, Hi-Fi Sound, 360 Audio, 1 Year Local Warranty","6,299",59,https://m.media-amazon.com/images/I/61gBZoxml0L._AC_UL320_.jpg
37,Top Load Washing Machine 19KG WA19CG6886BVAS Inverter Smart Black (local warranty),"20,729",6,https://m.media-amazon.com/images/I/516WD9nBeiL._AC_UL320_.jpg
38,65 Inch 4K UHD Smart LED TV - Black - UA65DU7000UXEG [2024 Model],"22,999",135,https://m.media-amazon.com/images/I/61v86Il5XHL._AC_UL320_.jpg
39,55 Inch TV Crystal Processor 4K LED - Titan Gray - UA55DU8000UXEG [2024 Model],"18,999",101,https://m.media-amazon.com/images/I/61mSsqaxrHL._AC_UL320_.jpg
40,"Galaxy A23 Dual Sim,128 GB, 4GB Ram - Peach",see price options,45,https://m.media-amazon.com/images/I/81HwkqsPaIL._AC_UL320_.jpg
41,"Galaxy S23 FE 5G Dual SIM Android Smartphone, 8GB RAM, 256GB ROM - Mint - 1 Year Warranty/Local Version",see price options,565,https://m.media-amazon.com/images/I/617l83eY1rL._AC_UL320_.jpg
42,"Galaxy S24 Ultra, AI Phone, 256GB Storage, Titanium Black, 12GB RAM, Android Smartphone, 200MP Camera, S Pen, Long Battery Life",see price options,"1,562",https://m.media-amazon.com/images/I/719HV2e6-sL._AC_UL320_.jpg
43,"Galaxy S24 FE, AI Phone, Android Smartphone, 8GB RAM, 256GB Storage, 50MP Camera, Long Battery Life, Gray- 1 Year Warranty/Local Version","39,500","1,562",https://m.media-amazon.com/images/I/61Yv1htH-KL._AC_UL320_.jpg
44,"Galaxy A16 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Light Green (1 Year Local Warranty)","7,370",2,https://m.media-amazon.com/images/I/61cmlEY2jsL._AC_UL320_.jpg
45,"Galaxy S24 FE, AI Phone, Android Smartphone, 8GB RAM, 256GB Storage, 50MP Camera, Long Battery Life, Large Screen, Graphite - 1 Year Warranty/Local Version","39,500",3,https://m.media-amazon.com/images/I/612GsfjWvaL._AC_UL320_.jpg
46,"Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, LTE, 6GB RAM, 128GB Storage, Silver, 1 Year Warranty/Local Version",see price options,"1,068",https://m.media-amazon.com/images/I/61SDL9BHt6L._AC_UL320_.jpg
47,32 Inch Full HD Smart LED TV with Built-in Receiver - Black - UA32T5300AUXEG,"8,289",632,https://m.media-amazon.com/images/I/71DA0YoM8eL._AC_UL320_.jpg
