,Name,author,price,rate,image
28,"The Vegetarian by Han Kang, Winner of the 2024 Nobel Prize in Literature",Han Kang,₹336.00,788,"https://images-eu.ssl-images-amazon.com/images/I/71YBG7M5WCL._AC_UL900_SR900,600_.jpg"
29,Indian Polity for UPSC (English) by M Laxmikanth | 7th Edition (Latest) | Civil Services Exam- Prelims and Mains 2025 | State PSCs civil services exams/PCS exams,M Laxmikanth,₹759.00,"2,767","https://images-eu.ssl-images-amazon.com/images/I/71CrTyKsazL._AC_UL900_SR900,600_.jpg"
30,Bhagvad Gita As It Is English New Edition,A. C. Bhaktivedanta Swami Prabhupad,₹294.00,"7,379","https://images-eu.ssl-images-amazon.com/images/I/71jWK5-fBML._AC_UL900_SR900,600_.jpg"
31,Oswaal CBSE Sample Question Papers Class 10 Mathematics Standard Book (For 2025 Exam),Oswaal Editorial Board,₹333.00,79,"https://images-eu.ssl-images-amazon.com/images/I/81g9ux2x8rL._AC_UL900_SR900,600_.jpg"
32,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Books for Kids - English Short Stories - Read Aloud to Infants, Toddlers",Maple Press,₹179.00,"9,327","https://images-eu.ssl-images-amazon.com/images/I/71xWWxjzF7L._AC_UL900_SR900,600_.jpg"
33,Norwegian Wood: Million copy bestseller by Japanese author Haruki Murakami,Haruki Murakami,₹359.00,"19,811","https://images-eu.ssl-images-amazon.com/images/I/81zqVhvbHbL._AC_UL900_SR900,600_.jpg"
34,"Educart CBSE Sample Paper Class 10 2024-25 - Science, Mathematics (Standard), Social Science & English Combo Set of 4 Books (with exclusive CBSE Mock Booklets) for 2025 Exam",Educart,"₹1,443.00",185,"https://images-eu.ssl-images-amazon.com/images/I/81x25UifKPL._AC_UL900_SR900,600_.jpg"
35,"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write And Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)",Wonder House Books,₹199.00,"13,023","https://images-eu.ssl-images-amazon.com/images/I/71QPXmpjWlL._AC_UL900_SR900,600_.jpg"
36,PW 20 SBI Clerk Prelims & Mains Previous Year Solved Papers (2023-2012) with 5 Online Mock Tests For 2024-25 Exam | Yearwise PYQs | Fully Solved | English Edition,Physics Wallah,₹309.00,22,"https://images-eu.ssl-images-amazon.com/images/I/61u1MyOVCtL._AC_UL900_SR900,600_.jpg"
37,The Alchemist,Paulo Coelho,₹262.00,"45,509","https://images-eu.ssl-images-amazon.com/images/I/61HAE8zahLL._AC_UL900_SR900,600_.jpg"
